# Gene Family	SRR579280_Abundance-RPKs
UNMAPPED	117114.0000000000
UniRef90_unknown	6831.2453896409
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	1253.1216620540
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	735.0127268466
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	557.2301436096
UniRef90_unknown|g__Eubacterium.s__Eubacterium_hallii	435.3612705083
UniRef90_unknown|g__Blautia.s__Ruminococcus_obeum	431.6567871940
UniRef90_unknown|g__Dorea.s__Dorea_formicigenerans	347.3166732700
UniRef90_unknown|g__Blautia.s__Ruminococcus_gnavus	308.6512283354
UniRef90_unknown|g__Coprococcus.s__Coprococcus_comes	282.4536779417
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	274.0171276200
UniRef90_unknown|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	239.1340063517
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_lactaris	234.8294657015
UniRef90_unknown|g__Eubacterium.s__Eubacterium_ramulus	225.5640907971
UniRef90_unknown|g__Anaerostipes.s__Anaerostipes_hadrus	205.8236988371
UniRef90_unknown|g__Alistipes.s__Alistipes_onderdonkii	198.4418765685
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	185.2608193022
UniRef90_unknown|g__Bacteroides.s__Bacteroides_ovatus	174.2961706878
UniRef90_unknown|g__Collinsella.s__Collinsella_aerofaciens	164.1415990817
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	146.5740971576
UniRef90_unknown|g__Eubacterium.s__Eubacterium_ventriosum	119.4784204083
UniRef90_unknown|g__Blautia.s__Ruminococcus_torques	94.0521876016
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	93.8775218700
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	72.3721744808
