# Gene Family	SRR579276_Abundance-RPKs
UNMAPPED	68771.0000000000
UniRef90_unknown	1486.9504493528
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	371.4369735633
UniRef90_unknown|g__Bacteroides.s__Bacteroides_cellulosilyticus	292.0185516923
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	181.9619365297
UniRef90_unknown|g__Eubacterium.s__Eubacterium_hallii	157.7461040623
UniRef90_unknown|g__Blautia.s__Ruminococcus_gnavus	137.4789730526
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	109.7695520689
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	76.5129947177
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	62.0678637592
UniRef90_unknown|g__Erysipelotrichaceae_noname.s__Eubacterium_cylindroides	57.1571904376
UniRef90_unknown|g__Bifidobacterium.s__Bifidobacterium_longum	24.0179099767
UniRef90_unknown|g__Bifidobacterium.s__Bifidobacterium_adolescentis	16.7823994924
UniRef90_C4ZI86	500.0000000000
UniRef90_C4ZI86|g__Eubacterium.s__Eubacterium_rectale	500.0000000000
UniRef90_R5QUL1	333.3333333333
UniRef90_R5QUL1|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	333.3333333333
UniRef90_R9HTU6	199.9206821337
UniRef90_R9HTU6|g__Bacteroides.s__Bacteroides_uniformis	199.9206821337
UniRef90_A7UY16	142.8571428571
UniRef90_A7UY16|g__Bacteroides.s__Bacteroides_uniformis	142.8571428571
UniRef90_A7B5X1	120.7366477694
UniRef90_A7B5X1|g__Blautia.s__Ruminococcus_gnavus	120.7366477694
UniRef90_A7V9W3	111.1111111111
UniRef90_A7V9W3|g__Bacteroides.s__Bacteroides_uniformis	111.1111111111
UniRef90_R5QF92	100.0000000000
UniRef90_R5QF92|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	100.0000000000
UniRef90_A7V0Q2	90.7261376704
UniRef90_A7V0Q2|g__Bacteroides.s__Bacteroides_uniformis	90.7261376704
UniRef90_A7B6K2	84.2202442389
UniRef90_A7B6K2|g__Blautia.s__Ruminococcus_gnavus	45.8978013653
UniRef90_A7B6K2|g__Dorea.s__Dorea_longicatena	38.3224428736
UniRef90_F3B8M7	74.9441928481
UniRef90_F3B8M7|g__Blautia.s__Ruminococcus_gnavus	74.9441928481
UniRef90_A7V5C2	62.5000000000
