# Gene Family	SRR579277_Abundance-RPKs
UniRef90_R7NZD5	34.4827586207
UniRef90_R7NZD5|g__Bacteroides.s__Bacteroides_dorei	34.4827586207
UniRef90_C4Z9M4	33.3333333333
UniRef90_C4Z9M4|g__Eubacterium.s__Eubacterium_rectale	33.3333333333
UniRef90_A8S6F0	33.1250655249
UniRef90_A8S6F0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	33.1250655249
UniRef90_Q650H0	32.0459837537
UniRef90_Q650H0|g__Bacteroides.s__Bacteroides_stercoris	18.1570948648
UniRef90_Q650H0|g__Bacteroides.s__Bacteroides_uniformis	13.8888888889
UniRef90_A8S6F2	31.9993914962
UniRef90_A8S6F2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31.9993914962
UniRef90_E4W393	30.6084672220
UniRef90_E4W393|g__Bacteroides.s__Bacteroides_dorei	30.6084672220
UniRef90_B7CEC1	30.3821118611
UniRef90_B7CEC1|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	30.3821118611
UniRef90_B0NM24	29.7619047619
UniRef90_B0NM24|g__Bacteroides.s__Bacteroides_stercoris	29.7619047619
UniRef90_S6CP39	29.6236421906
UniRef90_S6CP39|g__Eubacterium.s__Eubacterium_rectale	29.6236421906
UniRef90_E2ZKL3	29.4117647059
UniRef90_E2ZKL3|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.4117647059
UniRef90_G2T5I1	29.3455012120
UniRef90_G2T5I1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.3455012120
UniRef90_A5ZYU6	29.2139554435
UniRef90_A5ZYU6|g__Blautia.s__Ruminococcus_obeum	29.2139554435
UniRef90_E2ZNJ5	28.7784679089
UniRef90_E2ZNJ5|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	28.7784679089
UniRef90_UPI0001532979	28.6896163786
UniRef90_UPI0001532979|g__Ruminococcus.s__Ruminococcus_lactaris	28.6896163786
UniRef90_E2ZJ34	27.8334845149
UniRef90_E2ZJ34|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	27.8334845149
UniRef90_A8SFG4	27.7777777778
UniRef90_A8SFG4|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	27.7777777778
UniRef90_B6W048	27.7777777778
UniRef90_B6W048|g__Bacteroides.s__Bacteroides_dorei	27.7777777778
UniRef90_R5HXW0	27.7777777778
UniRef90_R5HXW0|g__Blautia.s__Ruminococcus_obeum	27.7777777778
UniRef90_A5ZQM1	27.1473517228
UniRef90_A5ZQM1|g__Blautia.s__Ruminococcus_obeum	27.1473517228
UniRef90_G2T4R8	27.0270270270
UniRef90_G2T4R8|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	27.0270270270
UniRef90_R7D5G4	27.0270270270
UniRef90_R7D5G4|g__Blautia.s__Ruminococcus_obeum	27.0270270270
UniRef90_N9W9X8	26.0823401174
UniRef90_N9W9X8|g__Blautia.s__Ruminococcus_obeum	26.0823401174
UniRef90_Q64NV0	25.6410256410
UniRef90_Q64NV0|g__Bacteroides.s__Bacteroides_stercoris	25.6410256410
UniRef90_C4ZFD5	25.1225490196
UniRef90_C4ZFD5|g__Eubacterium.s__Eubacterium_rectale	25.1225490196
UniRef90_B5CLP5	24.9430616889
UniRef90_B5CLP5|g__Ruminococcus.s__Ruminococcus_lactaris	24.9430616889
UniRef90_B0NRN4	24.6398137438
UniRef90_B0NRN4|g__Bacteroides.s__Bacteroides_stercoris	24.6398137438
UniRef90_C0EZ83	24.3881299422
UniRef90_C0EZ83|g__Eubacterium.s__Eubacterium_hallii	24.3881299422
UniRef90_C4ZHT8	23.8609112710
UniRef90_C4ZHT8|g__Eubacterium.s__Eubacterium_rectale	23.8609112710
UniRef90_G2SZT7	23.8095238095
UniRef90_G2SZT7|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	23.8095238095
UniRef90_A8S8X0	23.8095238095
UniRef90_A8S8X0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	23.8095238095
UniRef90_B0NRE7	23.8095238095
UniRef90_B0NRE7|g__Bacteroides.s__Bacteroides_stercoris	23.8095238095
UniRef90_E1WUR5	23.6207984262
UniRef90_E1WUR5|g__Bacteroides.s__Bacteroides_stercoris	20.6806164005
UniRef90_E1WUR5|g__Bacteroides.s__Bacteroides_uniformis	2.9401820258
UniRef90_C4Z9B0	23.2558139535
UniRef90_C4Z9B0|g__Eubacterium.s__Eubacterium_rectale	23.2558139535
UniRef90_I3YNY6	23.2558139535
UniRef90_I3YNY6|g__Bacteroides.s__Bacteroides_uniformis	23.2558139535
UniRef90_C6IUU9	22.7837563977
UniRef90_C6IUU9|g__Bacteroides.s__Bacteroides_dorei	22.7837563977
UniRef90_A8SEM2	22.2222222222
UniRef90_A8SEM2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.2222222222
UniRef90_C0BE67	22.2222222222
UniRef90_C0BE67|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.2222222222
UniRef90_C4ZHG3	22.2222222222
UniRef90_C4ZHG3|g__Eubacterium.s__Eubacterium_rectale	22.2222222222
UniRef90_Q45122	21.5368856791
UniRef90_Q45122|g__Bacteroides.s__Bacteroides_dorei	21.5368856791
UniRef90_C4Z3F9	21.3548462707
UniRef90_C4Z3F9|g__Blautia.s__Ruminococcus_obeum	15.9137697451
UniRef90_C4Z3F9|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.4410765256
UniRef90_A7UXY7	21.1166690853
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_uniformis	21.1166690853
UniRef90_E2ZFS8	21.0567304967
UniRef90_E2ZFS8|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	21.0567304967
UniRef90_R6AHC9	20.9956709957
UniRef90_R6AHC9|g__Bacteroides.s__Bacteroides_stercoris	20.9956709957
UniRef90_D1K4Q0	20.8333333333
UniRef90_D1K4Q0|g__Bacteroides.s__Bacteroides_dorei	20.8333333333
UniRef90_V8C8N1	20.8333333333
UniRef90_V8C8N1|g__Ruminococcus.s__Ruminococcus_lactaris	20.8333333333
UniRef90_C4ZCK6	20.6499425288
