#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	90.97961
k__Bacteria|p__Verrucomicrobia	3.82868
k__Bacteria|p__Actinobacteria	3.13521
k__Bacteria|p__Bacteroidetes	2.0565
k__Bacteria|p__Firmicutes|c__Clostridia	90.97961
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.82868
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.13521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2.0565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	90.97961
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.82868
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.13521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2.0565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	39.87116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	25.99457
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	25.11388
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	3.82868
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	3.13521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.01835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.03815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	39.87116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	19.33937
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	13.23552
